STATUS INFO : @ 22:22:08 MSG : Starting Application IN : Initialization

STATUS INFO : @ 22:22:23 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:24 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:24 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:25 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:25 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:26 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:26 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:27 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:27 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:28 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:28 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:29 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:29 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:30 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:30 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:31 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:31 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:32 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:32 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:33 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:33 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:34 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:34 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:35 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:35 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:36 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:36 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:37 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:37 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:38 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:38 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:39 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:39 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:40 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:40 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:41 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:41 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:42 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:42 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:43 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:43 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:44 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:44 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:45 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:45 MSG : Iterate 39236289 IN : Blink

STATUS INFO : @ 22:22:45 MSG : Terminating Application IN : Finalization

