STATUS INFO : @ 22:20:27 MSG : Starting Application IN : Initialization

STATUS INFO : @ 22:20:39 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:39 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:40 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:40 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:41 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:41 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:42 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:42 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:43 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:43 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:44 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:44 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:45 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:45 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:46 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:46 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:47 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:47 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:48 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:48 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:49 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:49 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:50 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:50 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:51 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:51 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:52 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:52 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:53 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:53 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:54 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:54 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:55 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:55 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:56 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:56 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:57 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:57 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:58 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:58 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:59 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:20:59 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:00 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:00 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:01 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:01 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:02 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:02 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:03 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:03 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:04 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:04 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:05 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:05 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:06 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:06 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:07 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:07 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:08 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:08 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:09 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:09 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:10 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:10 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:11 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:11 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:12 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:12 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:13 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:13 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:14 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:14 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:15 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:15 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:16 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:16 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:17 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:17 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:18 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:18 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:19 MSG : Iterate 1 IN : Blink

STATUS INFO : @ 22:21:19 MSG : Terminating Application IN : Finalization

